0899127112	399890
0899127132	399890
0899168455	395131
0899171935	003443
0899129906	399890
0899132578	399890
0899132660	399890
0899180709	009544
0899160977	399890
0899170193	399890
0899155271	399890
0899181493	042900
0899177219	399890
0899163850	395131
0899168131	395512
0899170528	394167
0899171584	394167
0899171511	002100
0899184948	399890
0899160393	395131
0899163726	399890
0899180755	399890
0899186386	399890
0899179337	399890
0899199144	231900
0899208617	010809
0899197362	003443
0899194709	010420
0899205981	003443
0899205982	003443
0899208293	003443
0899206158	007057
0899206149	003443
0899207694	003443
0899208549	003443
0899207721	003443
0899201728	003443
0899210200	003443
0899210202	008257
0899210079	009544
0899210076	003443
0899212264	003443
0899212266	003443
0899211661	003443
0899211215	003443
0899199517	003443
0899187411	011167
0899198854	396766
0899198796	365400
0899198892	396766
0899198824	396766
0899211540	010809
0899211538	010809
0899212710	003443
0899212696	003443
0899215205	395131
0899201786	004746
0899201671	003443
0899201869	003138
0899205933	003443
0899221612	003918
0899217408	248800
0899217005	248800
0899228423	010374
0899218973	392979
0899218975	392979
0899218947	392979
0899227832	396384
0899229211	003918
0899229141	003918
0899217015	003443
0899231072	003443
0899231067	003443
0899231057	003443
0899231346	003443
0899231386	003443
0899231564	008257
0899231283	395131
0899231375	395131
0899231383	003443
0899234191	009544
0899199756	003443
0899229153	009649
0899230219	003918
0899230277	003918
0899233944	003443
0899233852	003443
0899234558	003443
0899234183	003443
0899219607	003443
0899219812	003443
0899241338	291300
0899241280	291300
0899241341	291300
0899241363	291300
0899241240	291300
0899246498	009544
0899205946	003443
0899246528	009544
0899196693	008257
0899242706	003443
0899230181	003918
0899227898	003918
0899232764	201858
0899244852	008898
0899241680	399733
0899241465	003443
0899243434	009649
0899244610	003137
0899233401	009649
0899241221	003443
0899241624	003443
0899241439	003443
0899241872	009544
0899241245	003443
0899246496	003443
0899246486	004746
0899246261	004746
0899246520	003443
0899246469	003443
0899246341	003443
0899246601	399733
0899246616	291300
0899246403	291300
0899246451	291300
0899246505	291300
0899246213	003443
0899246148	003443
0899246232	003443
0899247394	399733
0899247640	003443
0899233316	003918
0899249214	009448
0899247899	399733
0899247489	010420
0899247774	394398
0899247403	003443
0899247450	010808
0899247420	010808
0899249865	010808
0899250034	010808
0899250384	399733
0899250353	399733
0899247703	399733
0899246338	003443
0899248199	003443
0899250413	399733
0899250393	399733
0899213425	003443
0899249362	003443
0899247731	003918
0899247270	003443
0899247177	009544
0899256807	395131
0899249747	011167
0899249669	011167
0899249743	011167
0899252538	399733
0899249718	011167
0899249723	011167
0899249731	011167
0899252521	399733
0899252548	399733
0899252289	399733
0899244803	008898
0899249407	391474
0899249360	003443
0899249657	003443
0899247396	003443
0899247497	394398
0899249552	003443
0899252026	395131
0899252030	395131
0899252004	395131
0899251886	395131
0899252007	395131
0899252086	395131
0899234793	011167
0899249745	011167
0899249715	011167
0899230839	011167
0899247593	003918
0899259819	009448
0899249897	010808
0899249871	010808
0899247723	010420
0899241656	003443
0899244571	003918
0899255632	010376
0899259258	010374
0899257912	399733
0899259275	399733
0899213611	003443
0899247784	009649
0899214022	003443
0899257162	009649
0899214245	003443
0899257627	399733
